亚科,亚科,genus,url,species,url url,fenbudi,description
切叶蚁亚科蚂蚁,Myrmicinae,脊红蚁属,Myrmicaria,寡脊红蚁,Myrmicaria vidua,中国广西；印度尼西亚，泰国，越南。,种小名“vidua”意为“widow；寡妇”，故而译为“寡脊红蚁”。
蚁亚科蚂蚁,Formicinae,蚁属,Formica,阿勒泰凹头蚁,Formica altayensis,中国新疆（阿勒泰）。,
臭蚁亚科蚂蚁,Dolichoderinae,光胸臭蚁属,Liometopum,尖光胸臭蚁,Liometopum apiculatum,美国，墨西哥。,
蚁亚科蚂蚁,Formicinae,多刺蚁属,Polyrhachis,光滑多刺蚁,Polyrhachis levior,中国广东、海南；印度尼西亚，新几内亚，澳大利亚。,
蚁亚科蚂蚁,Formicinae,尼氏蚁属,Nylanderia,布氏尼氏蚁,Nylanderia bourbonica,中国安徽、四川（成都、川西南高原域、川东盆地域）、重庆、云南（西双版纳、昆明、云岭、无量山）、贵州、湖北（恩施、鹤峰、利川、建始、咸丰、五峰、长阳、神农架、竹山、郧县、襄阳、罗田、英山、浠水、赤壁、新洲、监利）、湖南、江西、福建、广东（深圳（南山、宝安）-罗浮山）、广西（南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、弄岗）、河南（杞县、通许、鹤壁（淇县、淇滨、山城、鹤山、浚县））、陕西、台湾（Akau、甲仙、台南、台北、安平、大林、奋起湖）、海南（嘉积）、浙江（丽水、百祖山）、西藏（墨脱、德姆拉山）、香港、澳门；日本，朝鲜，印度，东南亚，北美，非洲。,曾一度作为布氏立毛蚁。
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,和谐切胸蚁,Temnothorax congruus,中国东北、北京、云南、广西；俄罗斯，日本，朝鲜半岛。,"在拉丁语中，“congruus”意为“agreeing, fit, suitable，harmonious, concordant”，故而暂拟中文名为“和谐切胸蚁”。"
蚁亚科蚂蚁,Formicinae,蚁属,Formica,吉冈蚁,Formica yoshiokae,日本。,
蚁亚科蚂蚁,Formicinae,尼氏蚁属,Nylanderia,黄足尼氏蚁,Nylanderia flavipes,中国北京、广东（顺德、珠海、广州、惠东、龙门、清新、平远、连州、始兴、深圳（南山、罗湖、宝安、福田、盐田））、辽宁、吉林（白城）、上海（徐家汇）、河南（开封、尉氏、商丘、济源、栾川、嵩县、辉县、登封、民权、虞城、睢阳、鹤壁（淇县、淇滨、山城、鹤山、浚县）、鸡公山）、浙江（天目山）、江苏（苏州）、安徽、河北、四川（成都、川西南高原域、川东盆地域）、重庆（大巴山）、云南（西双版纳）、湖北、湖南、江西、广西（花坪、兴安、藤县、玉林、金钟山、弄岗）、台湾（雾社）、福建（龙岩）、陕西（龙池）、山东（青岛）、云南（昆明、云岭、无量山）、贵州（梵净山、大沙河）、西藏（墨脱、德姆拉山）；朝鲜，日本，俄罗斯，东亚，北美。,原为黄立毛蚁，LaPolla等(2010)归入本属。
切叶蚁亚科蚂蚁,Myrmicinae,盘腹蚁属,Aphaenogaster,凹唇盘腹蚁,Aphaenogaster incurviclypea,中国湖北（利川）。,
切叶蚁亚科蚂蚁,Myrmicinae,红蚁属,Myrmica,稀奇红蚁,Myrmica curiosa,中国四川、湖南、云南、重庆（大巴山）。,
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,拟哀弓背蚁,Camponotus pseudolendus,中国四川（四川盆地西缘山地域、川西南高原域）、云南（昆明、云岭、大理苍山）、广西。,中、小型工蚁：体长8.4-11.6mm。头前、后等宽，后头缘直；触角柄节1/3长超出后头缘。小型工蚁头后部窄于前部，后头缘凸；触角柄节1/2长超出后头缘。其余特征同大型工蚁。
猛蚁亚科蚂蚁,Ponerinae,扁头猛蚁属,Ectomomyrmex,霍恩扁头猛蚁,Ectomomyrmex horni,中国台湾。,工蚁体长7.5mm，蚁后体长9.5mm。
切叶蚁亚科蚂蚁,Myrmicinae,小家蚁属,Monomorium,黑腹小家蚁,Monomorium intrudens,中国广西（弄岗）、台湾；日本。,
切叶蚁亚科蚂蚁,Myrmicinae,举腹蚁属,Crematogaster,迷走举腹蚁,Crematogaster aberrans,中国福建；印度，泰国。,种小名“aberrans”意为“迷走的”，故而译为“迷走举腹蚁”。
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,缺刺弓背蚁,Camponotus vanispinus,中国新疆（鄯善、巴楚、尉犁、麦盖提）。,
