"ID","种","属","亚科","描述","分布"
"48","高尚红蚁Myrmica excelsa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","中华红蚁（Myrmica sinica）已被证实为Myrmica excelsa的次异名。“excelsa”意为“elevated, lofty；高尚的，高耸的”，故译为“高尚红蚁”。","中国山东、甘肃、河南、湖北、陕西；朝鲜，日本，韩国，俄罗斯。"
"49","纵沟红蚁Myrmica sulcinodis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","中国内蒙古（隆德、六盘山(荷花苑）；朝鲜，北欧。 ","中国内蒙古、西藏（德姆拉山）、宁夏（隆德、六盘山）、甘肃（积石山）、青海；朝鲜，北欧。"
"50","粗糙瘤颚蚁Strumigenys hispida","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","中国广东（深圳）。","中国台湾、广西、河南、广东。"
"51","突叶点猛蚁Stigmatomma eminia","矛猛蚁属Myopopone","蚁亚科蚂蚁Formicinae","正模工蚁体长7.7mm，体红褐色，后头缘、上颚及其齿的边缘、前胸背板面色较深；足色较浅。","中国广西（花坪、金钟山）。"
"52","中华短猛蚁Brachyponera chinensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","正面观后头缘近平直, 唇基前缘中央凹入. 上颚具9 齿. 触角柄节顶端超过后头角, 鞭节中间各节长大于宽. 侧面观当中后胸腹板位于水平面时, 并胸腹节显著低于前中胸背板. 并胸腹节背面平直, 稍长于斜面. 侧面观腹柄结向上变窄, 腹柄下突楔形. 上颚基部具细刻点, 端部光滑. 头和体具密集细刻点; 前胸、腹柄结和腹部刻点细弱; 中后胸侧板光滑; 并胸腹节具密集粗糙刻点. 头和体背面具稀疏直立、亚直立毛和丰富倾斜绒毛被; 触角柄节和后足胫节背面具稀疏亚直立、亚倾斜毛和丰富倾斜绒毛被. 体黑色; 上颚, 触角鞭节, 足和腹末端黄褐色.","中国广西（桂林、龙胜、花坪、资源、金秀、三江、环江、梧州）、江苏（苏州、南京）、上海（徐家汇、佘山）、浙江（莫干山）、安徽、福建（福州）、台湾、香港（九龙、浅水湾）、广东（信宜、龙门、南岭）、四川（盆地西缘山地域、川西南高原域、川东盆地域）、湖南（岳麓山、长沙）、湖北（天堂寨、九宫山、大洪山、随州、罗田、通山）、北京、山东（青岛）、陕西（汉中、龙池）、贵州（同仁、黄果树）、河南（鸡公山、商丘、宁陵、商丘、睢县、虞城、民权）；日本，美国，朝鲜半岛，菲律宾，中南半岛，印度，印度尼西亚（苏门答腊、爪哇），新西兰（人为传入）。"
"53","凯莉弓背蚁Camponotus caryae","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","在早期文献中，凯莉弓背蚁（Camponotus caryae）的亚种“Camponotus caryae quadrinotatus”被译为“腹斑弓背蚁”，但这个亚种目前已经被提升为种，中文名是“四斑弓背蚁”。“腹斑”这个中文名撤销，其发现记录也归为“四斑弓背蚁”的发现记录。 凯莉弓背蚁在我国没有发现记录。","中国海南、湖南、江苏；美国，墨西哥。"
"54","和谐切胸蚁Temnothorax congruus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","在拉丁语中，“congruus”意为“agreeing, fit, suitable，harmonious, concordant”，故而暂拟中文名为“和谐切胸蚁”。","中国东北、北京、云南、广西；俄罗斯，日本，朝鲜半岛。"
"55","黄毛弓背蚁Camponotus auratiacus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","在定名该种的时候“Camponotus auratiacus”可能出现了错拼，“橙黄色”应该是“aurantiacus”，少了一个“n”，但为避免混乱，暂时仍然保留初始定名时的拼写方法。","中国广西（博白）、广东（广州）。"
"56","直背盲切叶蚁Carebara rectidorsa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为直背稀切叶蚁，现稀切叶蚁属（Oligomyrmex）已撤销，并入盲切叶蚁属，因此更名。 直背盲切叶蚁的模式产地位于中国云南。 兵蚁体长1.4~1.7mm。工蚁体长1.1~1.2mm。","中国重庆（大巴山）、河南（鸡公山）、湖北、湖南、西藏、云南（勐腊（尚勇（南欠）））；印度。"
"57","增城盲切叶蚁Carebara zengchengensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","原中文名为增城巨首蚁，现巨首蚁属（Pheidologeton）已撤销，并入盲切叶蚁属，因此更名。 增城盲切叶蚁的模式产地位于中国广东增城。 正模兵蚁体长12.8mm。 本种与粗纹盲切叶蚁（Carebara trechideros）相似，但大型工蚁与后者的区别是上颚光亮无刻纹，体刻纹间面光亮无刻点，并胸腹节刺圆而直，不向前弯曲；小型工蚁与后者的区别是前-中胸背板凸远高于后者，并胸腹节刺直，不向上弯。","中国澳门、福建（龙岩）、广东（惠东、清新、增城）。"
