"ID","种","属","亚科","描述","分布"
"522","格莱多蚁Formica glabridorsis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国北京（清华园、北海、老城区）、陕西、云南。"
"523","光腹黑蚁Formica liogaster","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国宁夏（海原）。"
"524","光眼凹头蚁Formica liopthalma","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国内蒙古、甘肃（武威）。"
"525","小眼凹唇蚁Formica miniocca","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国宁夏（彭阳（人工林））。"
"526","四川凹唇蚁Formica sentschuensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国甘肃（宕昌、西和）、四川、河南（开封、兰考、杞县、夏邑）、西藏。"
"527","毛柄草地蚁Formica villiscapa","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国内蒙古、新疆、甘肃。"
"528","少毛红蚁Formica wongi","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国新疆（阿勒泰）、河南（商丘）、陕西、湖北（神农架）、吉林。"
"529","富士山毛蚁Lasius fuji","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国东北；俄罗斯远东，日本，朝鲜半岛。"
"530","长须毛蚁Lasius longicirrus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国（西北地区）、甘肃（临夏积石山）。"
"531","尖齿刺结蚁Lepisiota acuta","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（安宁）。"
"532","何仙姑刺结蚁Lepisiota hexiangu","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国台湾（台东）。"
"533","网纹刺结蚁Lepisiota reticulata","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（西双版纳、无量山）、广西（三江、荔浦、南宁）、贵州（同仁）。"
"534","纤细尼氏蚁Nylanderia otome","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国台湾；日本。"
"535","拟黄足尼氏蚁Nylanderia paraflavipas","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国湖北（神农架）。"
"536","绣花尼氏蚁Nylanderia picta","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国广西（桂林）、福建（龙岩）、上海；越南。"
"537","龙王斜结蚁Plagiolepis longwang","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国广东（潮州）、台湾（台东）。"
"538","巴卡多刺蚁Polyrhachis bakana","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（西双版纳）。"
"539","短胸多刺蚁Polyrhachis brevicorpa","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（景洪、勐腊、勐海）。"
"540","方肩多刺蚁Polyrhachis cornihumera","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（勐养）、广西。"
"541","齿肩多刺蚁Polyrhachis dentihumera","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（勐腊）。"
"542","直刺多刺蚁Polyrhachis euthiacaena","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国广西（桂林）。"
"543","光滑多刺蚁Polyrhachis levior","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国广东、海南；印度尼西亚，新几内亚，澳大利亚。"
"544","圆肩多刺蚁Polyrhachis orbihumera","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（景洪）。"
"545","圆顶多刺蚁Polyrhachis rotoccipita","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国云南（勐腊）。"
"546","天井山多刺蚁Polyrhachis tianjingshanensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国广东（天井山国家森林公园）。"
"547","郑氏多刺蚁Polyrhachis zhengi","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国广西。"
"548","毛枕原蚁Proformica pilosiscapa","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国新疆（哈密）；亚美尼亚，格鲁吉亚，阿塞拜疆，保加利亚。"
"549","长柄拟毛蚁Pseudolasius longiscapus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国湖北（长阳）。"
"550","相似拟毛蚁Pseudolasius similus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国广西（贺州）、湖北（利川）。"
"551","方结俄蚁Rossomyrmex quandratinodum","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae"," ","中国新疆（乌鲁木齐）。"
"552","罗夫顿举腹蚁Crematogaster wroughtonii","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国云南、广东（百涌）；印度。"
"553","霍奇逊举腹蚁Crematogaster hodgsoni","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国广东（博罗）、河南、浙江；缅甸。"
"554","海洋细胸蚁Leptothorax oceanicus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国吉林；俄罗斯，朝鲜。"
"555","双斑小家蚁Monomorium bimaculatum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国香港。"
"556","海南小家蚁Monomorium hainanense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国云南、海南。"
"557","拟宽结小家蚁Monomorium latinodoides","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国香港（九龙）、广东、福建。"
"558","日本切叶蚁Myrmecina nipponica","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国（probably）；日本，俄罗斯远东，朝鲜半岛。"
"559","条纹切叶蚁Myrmecina striata","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国广西、云南（昆明）；缅甸。"
"560","弯角红蚁Myrmica lobicornis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国黑龙江、吉林、辽宁、北京、内蒙古（乌海、鄂尔多斯）、山西、陕西、河北、河南、甘肃（凉州、西和、麦积、岷县）、宁夏（固原、彭阳、西吉、中卫、六盘山、贺兰山）、四川（川西北高山高原域）、重庆（大巴山）、青海（西宁）；韩国，北欧， 俄罗斯（西伯利亚地区）。"
"561","丽塔红蚁Myrmica ritae","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国云南（昆明）、贵州、四川；缅甸，印度。"
"562","粗结红蚁Myrmica scabrinodis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国新疆（阿勒泰）；芬兰, 欧洲。"
"563","谢氏红蚁Myrmica schencki","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国新疆（乌鲁木齐、乌恰、米泉）、四川；俄罗斯（欧洲部分），吉尔吉斯斯坦（天山北坡），哈萨克斯坦，塔吉克斯坦。"
"564","立颊红蚁Myrmica stangeana","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国新疆（巴里坤）；俄罗斯。"
"565","封黛尔红蚁Myrmica vandeli","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国新疆（巴里坤）；法国，欧洲。"
"566","威氏红蚁Myrmica wesmaeli","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国宁夏（泾源（堡子山）、固原、彭阳、六盘山）、青海（西宁）；欧洲，俄罗斯(西伯利亚地区)。"
"567","女娲角腹蚁Recurvidris nuwa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国云南（绿春）、贵州（都匀）。"
"568","奥氏窄结蚁Stenamma owstoni","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国甘肃、西藏（东久）、四川；日本、朝鲜、韩国。"
"569","短刺切胸蚁Temnothorax brevispinus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国宁夏（贺兰山、西吉）、青海。"
"570","蒙古切胸蚁Temnothorax mongolicus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae"," ","中国河北；俄罗斯，蒙古，朝鲜。"
"571","兰屿钩猛蚁Anochetus lanyuensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国台湾（兰屿）。"
"572","马达拉钩猛蚁Anochetus madaraszi","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国云南、广西（龙州）；孟加拉国，印度，斯里兰卡。"
"573","墨脱钩猛蚁Anochetus medogensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国西藏（墨脱）。"
"574","天尊短猛蚁Brachyponera tianzun","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国台湾（南投、台东）。"
"575","金秀隐猛蚁Cryptopone jinxiuensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国广西（金秀）。"
"576","邵氏隐猛蚁Cryptopone sauteri","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国广西（花坪、猫儿山、金钟山、弄岗）、湖南（双牌、东安、新宁、安化、通道、沅陵、古丈、永顺、桑植、张家界、石门、资兴、桂东、炎陵）、湖北（来凤、鹤峰、咸丰、五峰、神农架、武当山、通山）、贵州（梵净山）；日本，朝鲜半岛。"
"577","糙腹细颚猛蚁Leptogenys cerchnogaster","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国湖南（江永）。"
"578","角唇细颚猛蚁Leptogenys diceraeus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国湖南（江永）。"
"579","贺州细颚猛蚁Leptogenys hezhouensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国广西（贺州）。"
"580","花坪细颚猛蚁Leptogenys huapingensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国广西（花坪）。"
"581","克氏细颚猛蚁Leptogenys kraepelini","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国分布一亚种。"
"582","粗壮细颚猛蚁Leptogenys strena","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国广西（富川）、湖南（江永）。"
"583","沟额细颚猛蚁Leptogenys sulcifrons","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国湖南（宁远、炎陵）。"
"584","耶伯细颚猛蚁Leptogenys yerburyi","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国云南（西双版纳）。"
"585","庄子细颚猛蚁Leptogenys zhuangzii","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国云南（勐海）。"
"586","环纹大齿猛蚁Odontomachus circulus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国云南（西双版纳、无量山）、重庆（大巴山）。"
"587","光亮大齿猛蚁Odontomachus fulgidus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国广西（龙胜花坪、金秀大瑶山）、贵州、湖南（江永、宁远、东安、新宁、安化、通道、凤凰、永顺、古丈、桑植、张家界、平江、炎陵、宜章）、贵州（雷公山）、广东（南岭）。"
"588","直齿大齿猛蚁Odontomachus tensus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国云南（大勐笼）。"
"589","西藏大齿猛蚁Odontomachus xizangensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国西藏（墨脱）。"
"590","凹斑微猛蚁Parvaponera cavimaculata","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国湖北（施恩）。"
"591","湖北猛蚁Ponera hubeiensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国湖北（鹤峰）。"
"592","龙林猛蚁Ponera longlina","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国云南（勐腊）。"
"593","粗柄猛蚁Ponera paedericera","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国广西（金秀大瑶山）、重庆（大巴山）。"
"594","粗糙猛蚁Ponera scabra","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国贵州（梵净山）、河南（登封）、台湾；日本，朝鲜半岛。"
"595","神农猛蚁Ponera shennong","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国台湾（屏东）。"
"596","太阳神猛蚁Ponera taiyangshen","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国台湾（宜兰）。"
"597","小猛蚁Ponera tenuis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国贵州（梵净山）；新几内亚，库克群岛，萨摩亚。"
"598","玉皇猛蚁Ponera yuhuang","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae"," ","中国台湾（宜兰）。"
"599","莫氏臭蚁Dolichoderus moggridgei","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国湖南，阿根廷，印度。"
"600","皱头臭蚁Dolichoderus rugocapitus","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国广西（十万大山）、广东（深圳）。"
"601","麟结臭蚁Dolichoderus squamanodus","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国云南（勐腊、景洪、无量山）。"
"602","九宫山菲臭蚁Philidris jiugongshanensis","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国湖北（通山）。"
"603","直头酸臭蚁Tapinoma orthocephalum","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国内蒙古（Hutjertu-gol）：具体需确认。"
"604","网背酸臭蚁Tapinoma rectinotum","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国福建（厦门）、宁夏（固原、永宁（玉泉营农场）、彭阳）、青海、贵州（雷山雷公山、江口梵净山）、甘肃、宁夏、湖北（恩施、利川、神农架、武当山）、安徽、未定地名（Kuliang、Black Liang、Pei-taiho）。"
"605","矮酸臭蚁Tapinoma sessile","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国；蒙古，北美。"
"606","西氏酸臭蚁Tapinoma silvestrii","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国未定地名（Kusang）。"
"607","西蒙酸臭蚁Tapinoma simrothi","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","新疆（新源、精河、阿勒泰）。"
"608","黄斑狡臭蚁Technomyrmex albosparsus","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae"," ","中国广东（河尾山）。"
"609","艾氏细长蚁Tetraponera aitkeni","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae"," ","中国云南（西双版纳）；印度，斯里兰卡。"
"610","河南双节行军蚁Aenictus henanensis","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国河南（伊川）。"
"611","长双节行军蚁Aenictus longi","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","印度。中国台湾记录一变种。"
"612","皮氏双节行军蚁Aenictus piercei","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国云南；印度，菲律宾。"
"613","红褐双节行军蚁Aenictus punensis","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国云南、浙江；印度。"
"614","沙克德双节行军蚁Aenictus shuckardi","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国云南（双江）；缅甸，印度，孟加拉。"
"615","韦氏双节行军蚁Aenictus westwoodi","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国云南（沧源、永德）；印度。"
"616","郑氏双节行军蚁Aenictus zhengi","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国四川。"
"617","亮褐行军蚁Dorylus laevigatus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国云南；缅甸，马来西亚，印度尼西亚。"
"618","维希努行军蚁Dorylus vishnui","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国云南（昆明、高黎贡山、安宁、宣威）；缅甸。"
"619","凹纹旁影蚁Parasyscia fossulata","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae"," ","中国云南；缅甸，斯里兰卡。"
"620","灶君点猛蚁Stigmatomma zaojun","矛猛蚁属Myopopone","蚁亚科蚂蚁Formicinae"," ","中国台湾（台中）。"
"621","昆明细蚁Leptanilla kunmingensis","细蚁属Leptanilla","蚁亚科蚂蚁Formicinae"," ","中国云南（昆明）。"
"622","双色原细蚁Protanilla bicolor","细蚁属Leptanilla","蚁亚科蚂蚁Formicinae"," ","中国云南（南部地区）。"
"623","沟齿弓背蚁Camponotus atrox","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国山西、河北（唐山（清东陵））；朝鲜（金刚山），韩国。"
"624","卡氏弓背蚁Camponotus cameroni","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国香港；厄瓜多尔。"
"625","奥萨弓背蚁Camponotus invidus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国内蒙古（阿拉善）、云南；印度，安达曼和尼科巴群岛。"
"626","里氏弓背蚁Camponotus reichardti","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国（新疆）；吉尔吉斯斯坦，乌兹别克斯坦。"
"627","斯氏弓背蚁Camponotus spenceri","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国云南；澳大利亚，婆罗洲，印度尼西亚，马来西亚。"
"628","警觉弓背蚁Camponotus vigilans","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国香港；印度尼西亚，马来西亚，婆罗洲。"
"629","科氏平头蚁Colobopsis cotesii","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国云南；印度。"
"630","帕米尔林蚁Formica pamirica","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国新疆；吉尔吉斯斯坦，土库曼斯坦。"
"631","大毛蚁Lasius spathepus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国云南（无量山）；朝鲜，日本，韩国，俄罗斯。"
"632","琉球尼氏蚁Nylanderia ryukyuensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国（台湾）；日本。"
"633","八重山尼蚁Nylanderia yaeyamensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国台湾；日本。"
"634","孔明拟立毛蚁Paraparatrechina kongming","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"635","福建无刺蚁Kartidris fujianensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建。"
"636","中华弯蚁Lordomyrma sinensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国陕西（秦岭）、西藏。"
"637","不丹弯蚁Lordomyrma bhutanensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（喜马拉雅山（亚东段））；不丹，尼泊尔。"
"638","邵氏后蚁Metapone sauteri","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"639","双色小家蚁Monomorium dichroum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建；索科特拉岛，也门，印度，阿曼。"
"640","林氏小家蚁Monomorium lindbergi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国新疆；阿富汗。"
"641","织女小家蚁Monomorium zhinu","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"642","弯刺切叶蚁Myrmecina curvispina","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西（罗城）、云南。"
"643","食草切叶蚁Myrmecina graminicola","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西、浙江；英国，丹麦，德国，俄罗斯。"
"644","广西切叶蚁Myrmecina guangxiensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西。"
"645","小钩切叶蚁Myrmecina hamula","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西（龙州）、陕西（秦岭）。"
"646","开公切叶蚁Myrmecina kaigong","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"647","少节切叶蚁Myrmecina pauca","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国湖南。"
"648","邵氏切叶蚁Myrmecina sauteri","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"649","细纹切叶蚁Myrmecina strigis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"650","阿富汗红蚁Myrmica afghanica","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（喜马拉雅山（珠峰段））；阿富汗，印度。"
"651","阿氏红蚁Myrmica alperti","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（喜马拉雅山（亚东段、珠峰段））；尼泊尔。"
"652","董其昌红蚁Myrmica dongi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏。"
"653","怀素红蚁Myrmica huaii","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国陕西。"
"654","柳公权红蚁Myrmica liui","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国内蒙古。"
"655","米芾红蚁Myrmica mifui","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国陕西。"
"656","欧阳询红蚁Myrmica oui","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国贵州。"
"657","帕氏红蚁Myrmica pachei","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（喜马拉雅山（亚东段、珠峰段））；印度，尼泊尔，不丹。"
"658","皱红蚁Myrmica rugosa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建、甘肃（武威、合作、迭部、夏河）、台湾、西藏、宁夏（六盘山（植物园、二龙河）、隆德）、陕西（龙池）、黑龙江、吉林；印度（喜马拉雅山脉）。"
"659","岩栖红蚁Myrmica rupestris","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏、青海、新疆；不丹，尼泊尔，印度。"
"660","鲁茨基红蚁Myrmica ruzskyana","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏、新疆。"
"661","史密西红蚁Myrmica smythiesii","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（喜马拉雅山（亚东段）、德姆拉山、嘎隆拉山、色季拉山、林芝、鲁朗、排龙）；尼泊尔，印度。"
"662","王羲之红蚁Myrmica wangi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国陕西。"
"663","颜真卿红蚁Myrmica yani","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国贵州。"
"664","紫荆华丽蚁Paratopula bauhinia","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国香港。"
"665","锡兰华丽蚁Paratopula ceylonica","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾、上海、香港；菲律宾，缅甸，斯里兰卡，印度，孟加拉国，巴基斯坦。"
"666","粗糙大头蚁Pheidole exasperata","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国浙江、江西、湖北、陕西、四川、云南。"
"667","棒刺大头蚁Pheidole spathifera","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东（肇庆、深圳（罗湖））、贵州、四川、重庆、西藏、云南（昆明）；缅甸，泰国，越南，克什米尔，孟加拉国，斯里兰卡，印度。"
"668","普通大头蚁Pheidole vulgaris","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国香港、广东（茂名（大雾岭）、（乳源））、广西（金钟山、大瑶山）、云南；越南，柬埔寨，印度。"
"669","淡黄大头蚁Pheidole flaveria","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东（南岭）、广西（桂林（花坪））、贵州、湖北、河南（鸡公山）、陕西（龙池） 。"
"670","兴起湖大头蚁Pheidole funkikoensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国河北、湖北、台湾。"
"671","梅花山大头蚁Pheidole meihuashanensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建。"
"672","新长柄大头蚁Pheidole neolongiscapa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西。"
"673","琉球大头蚁Pheidole ryukyuensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾；日本。"
"674","亮胸大头蚁Pheidole selathorax","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东（深圳）、广西。"
"675","舟山大头蚁Pheidole zhoushanensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国浙江。"
"676","妈祖棒角蚁Rhopalomastix mazu","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"677","大本棒角蚁Rhopalomastix omotoensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾；日本。"
"678","暗首棒角蚁Rhopalomastix umbracapita","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南、广西。"
"679","克什米尔窄结蚁Stenamma kashmirense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏；印度。"
"680","哀牢山窄结蚁Stenamma ailaoense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南。"
"681","不丹窄结蚁Stenamma bhutanense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（嘎隆拉山）、重庆（大巴山）；不丹。"
"682","乌蒙山窄结蚁Stenamma wumengense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南、重庆（大巴山）。"
"683","雅鲁藏布窄结蚁Stenamma yaluzangbum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国四川、西藏。"
"684","刀圆颚切叶蚁Strongylognathus dao","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国内蒙古。"
"685","南昆山瘤颚蚁Strumigenys nankunshana","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东。"
"686","西氏瘤颚蚁Strumigenys silvestrii","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东、澳门；美国，阿根廷，巴哈马，巴西，古巴，多米尼加共和国，大安的列斯群岛，格林纳达，巴拉圭，伊比利亚半岛，葡萄牙。"
"687","屈尺瘤颚蚁Strumigenys chuchihensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
